issue_id,activity_id,state,title,labels,updated_at,url,tasks_total,tasks_done
2818352352,GGI-A-37,open,Open source enabling digital transformation,"Decision Maker,Not Selected,Strategy Goal",2025-01-29 14:16:49+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/25,0,0
2818352216,GGI-A-36,open,Open source enabling innovation,"Decision Maker,Not Selected,Strategy Goal",2025-01-29 14:16:46+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/24,0,0
2818352023,GGI-A-35,open,Open source and digital sovereignty,"Decision Maker,Not Selected,Strategy Goal",2025-01-29 14:16:41+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/23,0,0
2818351655,GGI-A-34,open,C-Level awareness,"Decision Maker,Not Selected,Strategy Goal",2025-01-29 14:16:38+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/22,0,0
2818351467,GGI-A-16,open,Setup a strategy for corporate open source governance,"Decision Maker,Not Selected,Strategy Goal",2025-01-29 14:16:35+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/21,0,0
2818347007,GGI-A-43,open,Open source procurement policy,"Decision Maker,Not Selected,Engagement Goal",2025-01-29 14:15:30+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/20,0,0
2818346886,GGI-A-33,open,Engage with open source vendors,"Decision Maker,Not Selected,Engagement Goal",2025-01-29 14:15:27+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/19,0,0
2818346758,GGI-A-31,open,Publicly assert use of open source,"Team Leader,Decision Maker,Not Selected,Engagement Goal",2025-01-29 14:15:24+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/18,0,0
2818346621,GGI-A-30,open,Support open source communities,"Decision Maker,Not Selected,Engagement Goal",2025-01-29 14:15:21+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/17,0,0
2818346194,GGI-A-29,open,Engage with open source projects,"Developer,Decision Maker,Not Selected,Engagement Goal",2025-01-29 14:15:18+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/16,0,0
2818346076,GGI-A-39,open,Upstream first,"Developer,Team Leader,Not Selected,Culture Goal",2025-01-29 14:15:15+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/15,0,0
2818345962,GGI-A-28,open,HR perspective,"Decision Maker,Not Selected,Culture Goal",2025-01-29 14:15:12+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/14,0,0
2818345833,GGI-A-27,open,Belong to the open source community,"Team Leader,Decision Maker,Not Selected,Culture Goal",2025-01-29 14:15:09+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/13,0,0
2818345718,GGI-A-26,open,Contribute to open source projects,"Developer,Team Leader,Not Selected,Culture Goal",2025-01-29 14:15:06+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/12,0,0
2818345572,GGI-A-25,open,Promote open source development best practices,"Developer,Team Leader,Not Selected,Culture Goal",2025-01-29 14:15:03+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/11,0,0
2818345424,GGI-A-44,open,Run code reviews,"Developer,Team Leader,Not Selected,Trust Goal",2025-01-29 14:15:00+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/10,0,0
2818345001,GGI-A-24,open,Manage key indicators,"Team Leader,Decision Maker,Not Selected,Trust Goal",2025-01-29 14:14:57+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/9,0,0
2818344810,GGI-A-23,open,Manage software dependencies,"Developer,Team Leader,Not Selected,Trust Goal",2025-01-29 14:14:53+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/8,0,0
2818344687,GGI-A-22,open,Manage software vulnerabilities,"Team Leader,Not Selected,Trust Goal",2025-01-29 14:14:50+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/7,0,0
2818344538,GGI-A-21,open,Manage legal compliance,"Decision Maker,Not Selected,Trust Goal",2025-01-29 14:14:47+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/6,0,0
2818344404,GGI-A-42,open,Manage open source skills and resources,"Team Leader,Not Selected,Usage Goal",2025-01-29 14:14:44+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/5,0,0
2818344268,GGI-A-20,open,Open source enterprise software,"Decision Maker,Not Selected,Usage Goal",2025-01-29 14:14:41+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/4,0,0
2818344139,GGI-A-19,open,Open source supervision,"Team Leader,Not Selected,Usage Goal",2025-01-29 14:14:38+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/3,0,0
2818344020,GGI-A-18,open,Open source competency growth,"Team Leader,Not Selected,Usage Goal",2025-01-29 14:14:35+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/2,0,0
2818343898,GGI-A-17,open,Inventory of open source skills and resources,"Developer,Team Leader,Not Selected,Usage Goal",2025-01-29 14:14:32+00:00,https://api.github.com/repos/Sebastienlejeune/my-ggi-board-test/issues/1,0,0
