time,issue_id,event_id,type,author,action,url
2025-01-29 14:23:29+00:00,50,16108929512,label,Sebastienlejeune,labeled Decision Maker,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/50
2025-01-29 14:23:29+00:00,50,16108929521,label,Sebastienlejeune,labeled Not Selected,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/50
2025-01-29 14:23:29+00:00,50,16108929529,label,Sebastienlejeune,labeled Strategy Goal,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/50
2025-01-29 14:23:26+00:00,49,16108928147,label,Sebastienlejeune,labeled Decision Maker,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/49
2025-01-29 14:23:26+00:00,49,16108928157,label,Sebastienlejeune,labeled In Progress,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/49
2025-01-29 14:23:26+00:00,49,16108928169,label,Sebastienlejeune,labeled Strategy Goal,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/49
2025-01-29 14:23:23+00:00,48,16108927449,label,Sebastienlejeune,labeled Decision Maker,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/48
2025-01-29 14:23:23+00:00,48,16108927452,label,Sebastienlejeune,labeled Done,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/48
2025-01-29 14:23:23+00:00,48,16108927459,label,Sebastienlejeune,labeled Strategy Goal,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/48
2025-01-29 14:23:20+00:00,47,16108926684,label,Sebastienlejeune,labeled Decision Maker,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/47
2025-01-29 14:23:20+00:00,47,16108926691,label,Sebastienlejeune,labeled In Progress,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/47
2025-01-29 14:23:20+00:00,47,16108926699,label,Sebastienlejeune,labeled Strategy Goal,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/47
2025-01-29 14:23:17+00:00,46,16108925958,label,Sebastienlejeune,labeled Decision Maker,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/46
2025-01-29 14:23:17+00:00,46,16108925965,label,Sebastienlejeune,labeled Done,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/46
2025-01-29 14:23:17+00:00,46,16108925973,label,Sebastienlejeune,labeled Strategy Goal,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/46
2025-01-29 14:21:14+00:00,45,16108894579,label,Sebastienlejeune,labeled Decision Maker,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/45
2025-01-29 14:21:14+00:00,45,16108894588,label,Sebastienlejeune,labeled Engagement Goal,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/45
2025-01-29 14:21:14+00:00,45,16108894607,label,Sebastienlejeune,labeled Not Selected,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/45
2025-01-29 14:21:11+00:00,44,16108893845,label,Sebastienlejeune,labeled Decision Maker,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/44
2025-01-29 14:21:11+00:00,44,16108893851,label,Sebastienlejeune,labeled Engagement Goal,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/44
2025-01-29 14:21:11+00:00,44,16108893862,label,Sebastienlejeune,labeled Not Selected,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/44
2025-01-29 14:21:08+00:00,43,16108892973,label,Sebastienlejeune,labeled Decision Maker,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/43
2025-01-29 14:21:08+00:00,43,16108892989,label,Sebastienlejeune,labeled Engagement Goal,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/43
2025-01-29 14:21:08+00:00,43,16108893000,label,Sebastienlejeune,labeled Not Selected,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/43
2025-01-29 14:21:08+00:00,43,16108893012,label,Sebastienlejeune,labeled Team Leader,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/43
2025-01-29 14:21:05+00:00,42,16108892096,label,Sebastienlejeune,labeled Decision Maker,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/42
2025-01-29 14:21:05+00:00,42,16108892103,label,Sebastienlejeune,labeled Engagement Goal,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/42
2025-01-29 14:21:05+00:00,42,16108892115,label,Sebastienlejeune,labeled In Progress,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/42
2025-01-29 14:21:02+00:00,41,16108891307,label,Sebastienlejeune,labeled Decision Maker,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/41
2025-01-29 14:21:02+00:00,41,16108891315,label,Sebastienlejeune,labeled Developer,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/41
2025-01-29 14:21:02+00:00,41,16108891325,label,Sebastienlejeune,labeled Engagement Goal,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/41
